Signal,DateTime,Price
S,03-03-2023 06:15:00,22366.0
L,04-03-2023 17:00:01,22376.0
S,04-03-2023 22:15:01,22307.3
L,05-03-2023 05:30:03,22546.0
S,07-03-2023 12:15:02,22390.1
S,07-03-2023 22:45:01,22199.0
S,08-03-2023 10:00:03,21940.4
S,09-03-2023 12:15:01,21648.8
L,09-03-2023 18:30:04,21744.5
S,09-03-2023 20:15:01,21639.7
S,10-03-2023 19:00:04,19821.3
L,11-03-2023 05:45:01,20588.5
S,11-03-2023 20:15:01,20055.0
L,12-03-2023 04:00:03,20447.3
S,15-03-2023 15:30:02,24331.1
L,15-03-2023 17:15:02,25062.9
S,15-03-2023 20:00:04,24481.4
L,16-03-2023 11:45:02,24590.2
S,18-03-2023 20:00:02,27219.0
L,19-03-2023 18:30:01,27327.8
S,22-03-2023 13:30:01,28081.7
L,22-03-2023 17:30:01,28311.3
S,22-03-2023 23:30:01,27533.2
L,23-03-2023 19:00:16,28035.0
S,24-03-2023 16:00:05,27559.5
L,25-03-2023 20:15:00,27638.0
S,25-03-2023 23:30:01,27243.3
L,26-03-2023 16:00:02,27865.5
S,27-03-2023 17:00:00,27738.0
L,28-03-2023 23:15:01,27271.2
S,30-03-2023 20:00:01,28279.3
L,31-03-2023 17:30:11,28271.0
S,01-04-2023 16:15:01,28384.2
L,02-04-2023 07:30:01,28482.3
S,02-04-2023 15:15:01,28360.0
L,03-04-2023 12:30:01,28369.5
S,05-04-2023 19:15:02,28012.0
L,06-04-2023 19:45:01,28120.1
S,07-04-2023 11:45:01,27846.8
L,08-04-2023 03:00:01,27943.7
S,08-04-2023 22:15:01,27943.1
L,09-04-2023 23:30:01,28186.8
S,10-04-2023 17:45:04,28213.4
L,10-04-2023 19:00:03,28298.0
S,14-04-2023 19:30:01,30228.2
L,16-04-2023 19:45:01,30335.8
S,17-04-2023 04:45:01,29895.3
L,18-04-2023 09:30:01,29528.4
S,19-04-2023 11:15:01,30013.1
SL,19-04-2023 11:15:01,30013.1
S,22-04-2023 12:00:02,27268.4
L,22-04-2023 19:00:02,27467.3
S,23-04-2023 19:30:01,27387.0
L,24-04-2023 05:15:01,27888.7
S,24-04-2023 11:30:01,27464.2
L,25-04-2023 22:00:01,27613.9
S,28-04-2023 13:15:00,29210.6
L,29-04-2023 08:30:01,29398.9
S,29-04-2023 21:45:01,29142.0
L,30-04-2023 12:45:01,29280.1
S,01-05-2023 06:00:05,28463.7
L,02-05-2023 17:00:03,28095.7
S,02-05-2023 18:00:03,28033.1
L,02-05-2023 18:45:02,28520.6
S,03-05-2023 16:15:01,28484.3
L,03-05-2023 22:15:01,28614.0
S,03-05-2023 23:30:03,28325.9
L,04-05-2023 01:45:01,28964.5
S,04-05-2023 17:45:02,28698.0
L,05-05-2023 16:15:02,29156.3
S,06-05-2023 12:15:00,29245.4
L,07-05-2023 17:30:01,28893.5
S,08-05-2023 02:15:02,28764.5
L,09-05-2023 16:30:01,27757.0
S,09-05-2023 18:15:01,27450.1
L,10-05-2023 16:30:02,27785.6
S,10-05-2023 21:45:01,27325.0
L,13-05-2023 01:15:01,26669.1
