date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
15-07-2022 13:00:03,el,BTC,20876.81,1657875603,0.0,0
16-07-2022 20:30:01,xl,BTC,21167.14,1657989001,0.0,1.39
16-07-2022 21:15:01,el,BTC,21436.33,1657991701,0.0,0
16-07-2022 22:00:01,xl,BTC,21254.77,1657994401,0.0,-0.85
16-07-2022 22:00:03,el,BTC,21270.19,1657994403,0.0,0
17-07-2022 11:30:02,xl,BTC,21520.63,1658043002,0.0,1.18
18-07-2022 07:00:03,el,BTC,21341.04,1658113203,0.0,0
18-07-2022 10:00:02,xl,BTC,21870.19,1658124002,0.0,2.48
18-07-2022 10:00:05,el,BTC,21879.41,1658124005,0.0,0
18-07-2022 10:45:00,xl,BTC,22175.51,1658126700,0.0,1.35
18-07-2022 10:45:01,el,BTC,22181.79,1658126701,0.0,0
18-07-2022 20:30:01,xl,BTC,22290.96,1658161801,0.0,0.49
19-07-2022 04:00:03,el,BTC,22439.62,1658188803,0.0,0
19-07-2022 04:45:01,xl,BTC,22266.17,1658191501,0.0,-0.77
19-07-2022 17:30:02,el,BTC,22309.03,1658237402,0.0,0
19-07-2022 19:45:00,xl,BTC,22840.18,1658245500,0.0,2.38
19-07-2022 19:45:01,el,BTC,22838.7,1658245501,0.0,0
19-07-2022 20:30:02,xl,BTC,23288.44,1658248202,0.0,1.97
19-07-2022 20:30:02,el,BTC,23291.25,1658248202,0.0,0
19-07-2022 21:15:01,xl,BTC,23165.63,1658250901,0.0,-0.54
20-07-2022 19:00:02,el,BTC,24186.14,1658329202,0.0,0
21-07-2022 18:15:01,es,BTC,22515.7,1658412901,0.0,-6.91
22-07-2022 01:00:01,el,BTC,23121.92,1658437201,0.0,-2.62
22-07-2022 14:30:01,xl,BTC,23460.91,1658485801,2.13,1.47
23-07-2022 15:15:01,es,BTC,22416.97,1658574901,-4.41,0
23-07-2022 22:00:01,xs,BTC,22028.9,1658599201,-4.28,1.76
25-07-2022 04:45:02,es,BTC,22367.29,1658709902,-0.85,0
25-07-2022 07:00:01,xs,BTC,21951.94,1658718001,-2.3,1.89
25-07-2022 08:30:02,es,BTC,21836.18,1658723402,-2.29,0
25-07-2022 23:30:02,xs,BTC,21639.96,1658777402,-4.9,0.91
26-07-2022 02:30:02,es,BTC,21622.49,1658788202,-5.26,0
26-07-2022 04:00:04,xs,BTC,21308.7,1658793604,-5.61,1.47
26-07-2022 04:00:06,es,BTC,21305.52,1658793606,-5.61,0
26-07-2022 04:45:02,xs,BTC,21047.0,1658796302,-5.84,1.23
26-07-2022 17:30:04,es,BTC,20938.29,1658842204,-4.51,0
27-07-2022 22:45:03,el,BTC,22462.0,1658947503,7.79,-6.78
27-07-2022 23:30:03,xl,BTC,22897.51,1658950203,9.69,1.94
27-07-2022 23:30:05,el,BTC,22896.14,1658950205,9.69,0
28-07-2022 07:00:01,xl,BTC,23290.13,1658977201,9.9,1.72
28-07-2022 19:45:02,el,BTC,23679.1,1659023102,10.3,0
28-07-2022 20:30:01,xl,BTC,23901.52,1659025801,10.27,0.94
29-07-2022 19:00:02,el,BTC,24027.4,1659106802,3.91,0
30-07-2022 17:30:00,xl,BTC,24499.0,1659187800,3.87,1.96
01-08-2022 15:15:01,es,BTC,23002.4,1659352501,-3.36,0
02-08-2022 13:45:01,xs,BTC,22681.6,1659433501,-2.85,1.41
02-08-2022 18:15:01,es,BTC,22766.83,1659449701,-2.85,0
04-08-2022 22:45:00,xs,BTC,22538.54,1659638700,-4.11,1.01
08-08-2022 01:45:00,el,BTC,23299.03,1659908700,0.49,0
08-08-2022 10:45:01,xl,BTC,23706.77,1659941101,3.06,1.75
08-08-2022 11:30:01,el,BTC,23817.03,1659943801,3.53,0
08-08-2022 13:00:01,xl,BTC,24137.62,1659949201,5.27,1.35
08-08-2022 13:00:03,el,BTC,24143.26,1659949203,5.27,0
11-08-2022 09:15:00,xl,BTC,24582.98,1660194900,7.22,1.82
11-08-2022 10:00:04,el,BTC,24571.85,1660197604,7.25,0
11-08-2022 12:15:01,xl,BTC,24408.97,1660205701,6.23,-0.66
11-08-2022 16:45:01,el,BTC,24693.22,1660221901,4.04,0
15-08-2022 07:45:01,xl,BTC,24822.5,1660535101,0.99,0.52
16-08-2022 09:15:00,es,BTC,23905.55,1660626900,-3.69,0
17-08-2022 18:15:00,xs,BTC,23393.63,1660745700,-1.75,2.19
