date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
16-07-2022 21:00:02,el,BTC,21474.21,1657990802,0.0,0
18-07-2022 23:30:02,es,BTC,21695.43,1658172602,0.0,1.03
19-07-2022 04:00:05,xs,BTC,22440.4,1658188805,0.0,-3.32
19-07-2022 22:00:02,el,BTC,23458.11,1658253602,0.0,0
21-07-2022 00:30:02,es,BTC,23035.42,1658349002,0.0,-1.8
21-07-2022 21:00:01,el,BTC,23033.79,1658422801,0.0,0.01
22-07-2022 07:30:01,es,BTC,22899.85,1658460601,0.0,-0.58
22-07-2022 17:00:01,xs,BTC,23591.15,1658494801,3.44,-2.93
22-07-2022 21:30:02,es,BTC,23014.49,1658511002,0.39,0
27-07-2022 21:30:01,el,BTC,21678.81,1658943001,3.22,6.16
28-07-2022 07:00:02,xl,BTC,23290.95,1658977202,9.9,7.44
28-07-2022 20:30:01,el,BTC,23901.52,1659025801,10.27,0
29-07-2022 17:00:02,es,BTC,23513.55,1659099602,2.07,-1.62
30-07-2022 17:00:04,xs,BTC,24387.54,1659186004,3.69,-3.58
31-07-2022 00:30:01,es,BTC,23965.47,1659213001,0.42,0
02-08-2022 21:00:02,el,BTC,23387.34,1659459602,0.78,2.47
03-08-2022 04:30:03,es,BTC,22819.56,1659486603,-2.1,-2.43
03-08-2022 16:30:01,xs,BTC,23433.06,1659529801,2.5,-2.62
03-08-2022 17:00:02,el,BTC,23264.99,1659531602,2.32,0
04-08-2022 03:00:03,es,BTC,22916.36,1659567603,-0.73,-1.5
