date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
15-07-2022 17:15:01,el,BTC,20965.62,1657890901,0.0,0
16-07-2022 04:45:01,es,BTC,20693.93,1657932301,0.0,-1.3
18-07-2022 07:00:02,el,BTC,21342.25,1658113202,0.0,-3.04
18-07-2022 09:30:00,xl,BTC,21588.45,1658122200,0.0,1.15
18-07-2022 17:45:02,el,BTC,22147.07,1658151902,0.0,0
18-07-2022 23:15:01,es,BTC,21557.47,1658171701,0.0,-2.66
19-07-2022 04:00:04,el,BTC,22439.35,1658188804,0.0,-3.93
19-07-2022 04:15:01,xl,BTC,22842.62,1658189701,0.0,1.8
19-07-2022 06:15:02,es,BTC,21983.08,1658196902,0.0,0
19-07-2022 11:00:00,xs,BTC,21758.9,1658214000,0.0,1.03
21-07-2022 20:30:02,el,BTC,23070.42,1658421002,0.0,0
22-07-2022 04:45:00,xl,BTC,23287.17,1658450700,0.0,0.94
22-07-2022 07:45:01,es,BTC,22931.02,1658461501,0.0,0
22-07-2022 21:45:02,xs,BTC,22963.82,1658511902,0.27,-0.14
22-07-2022 22:15:01,es,BTC,22965.44,1658513701,0.19,0
22-07-2022 23:45:02,xs,BTC,22668.05,1658519102,-1.59,1.31
23-07-2022 06:45:01,el,BTC,22883.9,1658544301,-0.77,0
24-07-2022 08:30:01,es,BTC,22351.4,1658637001,-1.77,-2.33
