unix_ts,open,high,low,close,Volume,close time
1660508100000,24300.88000000,24352.22000000,24294.58000000,24317.78000000,779.96373000,1660508399999
1660508400000,24317.78000000,24331.45000000,24273.15000000,24290.50000000,505.03089000,1660508699999
1660508700000,24288.81000000,24305.42000000,24275.11000000,24304.25000000,328.43293000,1660508999999
1660509000000,24304.25000000,24309.18000000,24276.15000000,24297.35000000,333.22066000,1660509299999
1660509300000,24297.35000000,24307.46000000,24283.91000000,24304.81000000,282.70593000,1660509599999
1660509600000,24303.61000000,24316.92000000,24296.61000000,24304.94000000,212.51503000,1660509899999
1660509900000,24305.68000000,24316.92000000,24297.51000000,24306.47000000,270.81959000,1660510199999
1660510200000,24305.12000000,24332.98000000,24302.55000000,24329.11000000,281.28051000,1660510499999
1660510500000,24329.16000000,24329.27000000,24310.00000000,24312.41000000,228.13602000,1660510799999
1660510800000,24313.51000000,24326.76000000,24273.94000000,24274.77000000,455.04504000,1660511099999
1660511100000,24274.77000000,24304.03000000,24274.77000000,24300.76000000,242.83319000,1660511399999
1660511400000,24300.76000000,24361.22000000,24300.00000000,24358.91000000,499.39362000,1660511699999
1660511700000,24358.91000000,24378.55000000,24331.23000000,24349.59000000,509.55287000,1660511999999
1660512000000,24350.71000000,24382.77000000,24339.14000000,24374.14000000,400.12284000,1660512299999
1660512300000,24376.40000000,24396.66000000,24365.88000000,24393.53000000,440.25101000,1660512599999
1660512600000,24393.53000000,24435.00000000,24371.00000000,24372.56000000,424.64656000,1660512899999
1660512900000,24372.17000000,24394.00000000,24319.37000000,24329.04000000,391.89892000,1660513199999
1660513200000,24330.34000000,24377.69000000,24329.04000000,24375.99000000,216.29703000,1660513499999
1660513500000,24374.77000000,24376.81000000,24330.57000000,24355.57000000,244.04466000,1660513799999
1660513800000,24355.57000000,24359.90000000,24326.47000000,24328.42000000,192.38869000,1660514099999
1660514100000,24328.42000000,24346.44000000,24317.41000000,24343.67000000,292.90158000,1660514399999
1660514400000,24344.88000000,24354.25000000,24271.70000000,24274.37000000,704.60952000,1660514699999
1660514700000,24274.71000000,24287.47000000,24228.00000000,24270.78000000,800.52490000,1660514999999
1660515000000,24270.78000000,24278.23000000,24195.20000000,24213.18000000,799.32719000,1660515299999
1660515300000,24213.18000000,24244.34000000,24172.40000000,24235.34000000,820.03577000,1660515599999
1660515600000,24235.34000000,24292.10000000,24216.45000000,24281.27000000,550.74972000,1660515899999
1660515900000,24281.16000000,24332.18000000,24279.04000000,24315.39000000,500.36250000,1660516199999
1660516200000,24315.39000000,24364.40000000,24305.99000000,24325.11000000,572.42715000,1660516499999
1660516500000,24325.11000000,24354.87000000,24312.05000000,24336.07000000,445.88328000,1660516799999
1660516800000,24336.07000000,24350.00000000,24324.77000000,24336.03000000,332.97394000,1660517099999
1660517100000,24335.01000000,24347.68000000,24319.49000000,24331.93000000,276.57060000,1660517399999
1660517400000,24331.94000000,24348.99000000,24319.46000000,24327.33000000,347.81973000,1660517699999
1660517700000,24327.33000000,24338.31000000,24243.46000000,24258.68000000,552.91418000,1660517999999
1660518000000,24257.90000000,24299.93000000,24250.00000000,24294.26000000,525.97318000,1660518299999
1660518300000,24294.26000000,24310.96000000,24250.12000000,24255.17000000,466.88358000,1660518599999
1660518600000,24253.64000000,24289.74000000,24234.07000000,24280.79000000,377.96302000,1660518899999
1660518900000,24279.88000000,24305.44000000,24276.77000000,24284.02000000,354.03212000,1660519199999
1660519200000,24284.02000000,24325.70000000,24281.14000000,24304.21000000,478.87122000,1660519499999
1660519500000,24305.75000000,24305.76000000,24254.21000000,24269.60000000,414.13990000,1660519799999
1660519800000,24270.74000000,24286.83000000,24250.00000000,24276.01000000,329.17018000,1660520099999
1660520100000,24274.75000000,24314.67000000,24266.09000000,24301.58000000,328.25947000,1660520399999
1660520400000,24301.58000000,24338.15000000,24280.44000000,24334.22000000,520.25547000,1660520699999
1660520700000,24335.92000000,24353.10000000,24321.34000000,24336.72000000,522.87411000,1660520999999
1660521000000,24337.86000000,24341.14000000,24312.85000000,24328.19000000,259.16055000,1660521299999
1660521300000,24328.19000000,24334.05000000,24282.40000000,24305.24000000,354.38054000,1660521599999
1660521600000,24305.25000000,24316.56000000,24272.45000000,24287.93000000,439.22835000,1660521899999
1660521900000,24286.22000000,24290.99000000,24212.00000000,24213.99000000,856.24554000,1660522199999
1660522200000,24213.99000000,24225.16000000,24193.30000000,24211.81000000,493.26581000,1660522499999
1660522500000,24211.81000000,24269.88000000,24164.10000000,24254.46000000,868.50040000,1660522799999
1660522800000,24254.46000000,24302.93000000,24236.41000000,24252.86000000,736.20214000,1660523099999
1660523100000,24251.63000000,24266.32000000,24238.25000000,24259.87000000,304.55320000,1660523399999
1660523400000,24261.12000000,24377.71000000,24255.45000000,24353.99000000,757.32937000,1660523699999
1660523700000,24354.31000000,24395.23000000,24325.54000000,24346.03000000,921.91114000,1660523999999
1660524000000,24345.34000000,24375.76000000,24328.41000000,24371.99000000,444.34317000,1660524299999
1660524300000,24373.50000000,24384.14000000,24353.00000000,24373.03000000,406.70204000,1660524599999
1660524600000,24373.03000000,24391.26000000,24361.79000000,24367.12000000,314.52792000,1660524899999
1660524900000,24367.12000000,24413.79000000,24365.76000000,24400.97000000,567.05918000,1660525199999
1660525200000,24400.97000000,24417.26000000,24370.00000000,24383.47000000,515.05569000,1660525499999
1660525500000,24381.97000000,24406.05000000,24350.00000000,24392.31000000,467.92480000,1660525799999
1660525800000,24392.31000000,24403.03000000,24345.13000000,24360.81000000,592.83770000,1660526099999
1660526100000,24360.81000000,24431.71000000,24330.96000000,24409.69000000,537.80191000,1660526399999
1660526400000,24411.17000000,24424.64000000,24386.98000000,24398.37000000,380.38285000,1660526699999
1660526700000,24398.37000000,24406.56000000,24384.03000000,24395.39000000,328.18251000,1660526999999
1660527000000,24396.87000000,24511.11000000,24388.00000000,24457.71000000,1392.78432000,1660527299999
1660527300000,24458.74000000,24514.31000000,24450.00000000,24494.75000000,872.84501000,1660527599999
1660527600000,24495.88000000,24557.21000000,24475.00000000,24534.33000000,1316.29498000,1660527899999
1660527900000,24536.45000000,24592.84000000,24520.42000000,24530.80000000,1268.30098000,1660528199999
1660528200000,24531.88000000,24572.00000000,24514.80000000,24523.33000000,626.10211000,1660528499999
1660528500000,24523.33000000,24656.75000000,24520.00000000,24645.14000000,1652.78334000,1660528799999
1660528800000,24645.14000000,24701.68000000,24638.80000000,24689.93000000,1127.80869000,1660529099999
1660529100000,24689.93000000,24737.49000000,24664.34000000,24719.42000000,1232.43741000,1660529399999
1660529400000,24719.42000000,24759.81000000,24707.14000000,24730.34000000,983.49299000,1660529699999
1660529700000,24730.00000000,24768.80000000,24730.00000000,24752.85000000,1018.39390000,1660529999999
1660530000000,24751.31000000,24804.00000000,24745.00000000,24779.23000000,982.37178000,1660530299999
1660530300000,24779.23000000,24817.59000000,24763.84000000,24815.60000000,758.26974000,1660530599999
1660530600000,24813.91000000,24865.00000000,24777.33000000,24838.67000000,1444.73634000,1660530899999
1660530900000,24835.80000000,24880.00000000,24826.79000000,24860.45000000,1040.53623000,1660531199999
1660531200000,24859.51000000,24884.97000000,24805.43000000,24824.76000000,884.93669000,1660531499999
1660531500000,24824.46000000,24859.45000000,24755.99000000,24857.97000000,1175.52614000,1660531799999
1660531800000,24859.45000000,24915.92000000,24840.02000000,24897.05000000,1129.83001000,1660532099999
1660532100000,24897.05000000,24931.66000000,24895.59000000,24917.72000000,1135.58828000,1660532399999
1660532400000,24918.29000000,25020.00000000,24915.81000000,24977.11000000,1956.84586000,1660532699999
1660532700000,24977.11000000,25001.98000000,24895.20000000,24934.13000000,1239.75368000,1660532999999
1660533000000,24934.13000000,25181.48000000,24931.95000000,25142.16000000,2793.20384000,1660533299999
1660533300000,25140.36000000,25211.32000000,25086.65000000,25101.15000000,2533.88259000,1660533599999
1660533600000,25104.24000000,25143.20000000,24915.28000000,25010.13000000,1896.18047000,1660533899999
1660533900000,25010.13000000,25066.00000000,24979.20000000,25026.22000000,1143.92132000,1660534199999
1660534200000,25027.52000000,25099.16000000,25018.83000000,25083.97000000,1065.44019000,1660534499999
1660534500000,25082.93000000,25092.12000000,24958.04000000,24958.62000000,1112.68622000,1660534799999
1660534800000,24958.04000000,24968.18000000,24779.05000000,24833.68000000,1743.85556000,1660535099999
1660535100000,24831.91000000,24901.31000000,24792.83000000,24811.83000000,1250.23780000,1660535399999
1660535400000,24811.83000000,24876.23000000,24810.72000000,24820.96000000,721.87465000,1660535699999
1660535700000,24821.99000000,24888.00000000,24820.96000000,24867.39000000,587.63804000,1660535999999
1660536000000,24866.12000000,24888.00000000,24788.90000000,24808.79000000,1142.77983000,1660536299999
1660536300000,24807.21000000,24812.28000000,24690.08000000,24727.32000000,1835.34253000,1660536599999
1660536600000,24728.32000000,24802.78000000,24720.66000000,24794.65000000,853.41713000,1660536899999
1660536900000,24793.34000000,24842.69000000,24760.38000000,24799.28000000,881.82179000,1660537199999
1660537200000,24797.66000000,24825.03000000,24758.53000000,24804.89000000,549.77085000,1660537499999
1660537500000,24804.89000000,24807.65000000,24747.96000000,24767.09000000,498.08480000,1660537799999
1660537800000,24766.09000000,24837.94000000,24762.91000000,24809.95000000,753.60445000,1660538099999
1660538100000,24808.67000000,24829.99000000,24783.78000000,24795.72000000,550.05198000,1660538399999
1660538400000,24797.74000000,24827.88000000,24794.16000000,24801.31000000,349.16155000,1660538699999
1660538700000,24802.55000000,24814.66000000,24747.89000000,24768.80000000,683.66184000,1660538999999
1660539000000,24769.90000000,24856.17000000,24765.95000000,24826.84000000,709.96829000,1660539299999
1660539300000,24826.84000000,24877.13000000,24822.74000000,24847.53000000,623.66204000,1660539599999
1660539600000,24849.23000000,24982.70000000,24843.40000000,24930.08000000,1219.65167000,1660539899999
1660539900000,24931.99000000,24951.32000000,24880.28000000,24886.32000000,795.44549000,1660540199999
1660540200000,24886.33000000,24886.34000000,24790.00000000,24840.43000000,1200.51547000,1660540499999
1660540500000,24840.43000000,24851.19000000,24786.26000000,24804.35000000,843.47368000,1660540799999
1660540800000,24804.36000000,24884.64000000,24800.82000000,24821.70000000,857.82639000,1660541099999
1660541100000,24823.03000000,24851.20000000,24793.31000000,24833.72000000,602.61448000,1660541399999
1660541400000,24833.72000000,24837.95000000,24777.77000000,24784.06000000,539.72038000,1660541699999
1660541700000,24784.06000000,24808.00000000,24755.00000000,24758.30000000,652.47455000,1660541999999
1660542000000,24758.30000000,24788.38000000,24751.00000000,24779.95000000,586.79695000,1660542299999
1660542300000,24780.83000000,24811.38000000,24755.42000000,24788.65000000,925.18216000,1660542599999
1660542600000,24788.65000000,24817.27000000,24786.12000000,24793.79000000,489.89817000,1660542899999
1660542900000,24793.79000000,24835.57000000,24790.20000000,24817.62000000,535.96670000,1660543199999
1660543200000,24817.62000000,24826.00000000,24731.22000000,24732.82000000,759.76060000,1660543499999
1660543500000,24734.50000000,24753.92000000,24576.73000000,24626.47000000,2103.58985000,1660543799999
1660543800000,24626.47000000,24646.70000000,24550.45000000,24571.76000000,1605.22821000,1660544099999
1660544100000,24571.76000000,24610.14000000,24542.24000000,24575.25000000,1172.74156000,1660544399999
1660544400000,24576.43000000,24578.01000000,24471.63000000,24480.89000000,1419.62178000,1660544699999
1660544700000,24480.89000000,24490.01000000,24348.89000000,24418.36000000,2183.21269000,1660544999999
1660545000000,24418.36000000,24420.23000000,24351.00000000,24361.21000000,1482.45991000,1660545299999
1660545300000,24359.83000000,24401.84000000,24250.01000000,24358.49000000,2485.06841000,1660545599999
1660545600000,24358.49000000,24406.56000000,24344.97000000,24377.12000000,1153.07032000,1660545899999
1660545900000,24377.12000000,24382.36000000,24285.55000000,24302.82000000,1214.65914000,1660546199999
1660546200000,24302.82000000,24308.71000000,24160.00000000,24217.14000000,2144.68924000,1660546499999
1660546500000,24215.23000000,24230.01000000,24081.79000000,24135.23000000,2187.48213000,1660546799999
1660546800000,24135.23000000,24207.13000000,24075.35000000,24191.09000000,1864.63721000,1660547099999
1660547100000,24193.13000000,24218.92000000,24085.00000000,24092.02000000,1513.99052000,1660547399999
1660547400000,24094.79000000,24117.93000000,24034.64000000,24059.90000000,1363.09090000,1660547699999
1660547700000,24059.90000000,24123.96000000,24014.43000000,24102.29000000,1388.11854000,1660547999999
1660548000000,24102.29000000,24105.87000000,24011.10000000,24024.99000000,1248.50046000,1660548299999
1660548300000,24026.39000000,24079.10000000,24000.00000000,24072.58000000,1778.59297000,1660548599999
1660548600000,24072.58000000,24119.03000000,24051.67000000,24113.63000000,1163.78709000,1660548899999
1660548900000,24112.28000000,24117.15000000,23944.62000000,23952.32000000,1838.28351000,1660549199999
1660549200000,23955.21000000,24066.58000000,23949.24000000,24028.50000000,1405.98587000,1660549499999
1660549500000,24028.50000000,24063.78000000,24014.64000000,24041.26000000,781.28422000,1660549799999
1660549800000,24042.64000000,24066.07000000,24000.00000000,24043.72000000,801.05738000,1660550099999
1660550100000,24046.06000000,24050.31000000,23988.89000000,24027.05000000,899.14861000,1660550399999
1660550400000,24027.05000000,24053.18000000,23988.63000000,24021.00000000,1167.96589000,1660550699999
1660550700000,24019.09000000,24055.95000000,23995.67000000,24003.04000000,990.95896000,1660550999999
1660551000000,24003.04000000,24008.36000000,23942.42000000,23960.96000000,1066.68858000,1660551299999
1660551300000,23961.38000000,24033.48000000,23869.46000000,23999.92000000,2191.57765000,1660551599999
1660551600000,23999.91000000,24052.29000000,23990.02000000,24014.91000000,1023.43869000,1660551899999
1660551900000,24015.99000000,24050.00000000,23990.13000000,24024.76000000,893.67112000,1660552199999
1660552200000,24024.76000000,24044.75000000,24003.03000000,24028.48000000,958.84031000,1660552499999
1660552500000,24029.33000000,24063.14000000,24015.00000000,24040.35000000,895.79510000,1660552799999
1660552800000,24040.35000000,24079.88000000,24025.00000000,24033.47000000,822.10456000,1660553099999
1660553100000,24031.52000000,24040.20000000,23989.31000000,24016.77000000,857.12240000,1660553399999
1660553400000,24015.02000000,24046.97000000,24005.32000000,24045.80000000,567.67273000,1660553699999
1660553700000,24045.80000000,24050.59000000,24020.03000000,24042.70000000,664.34943000,1660553999999
1660554000000,24042.70000000,24066.74000000,24023.41000000,24049.91000000,662.05080000,1660554299999
1660554300000,24048.83000000,24080.99000000,24017.58000000,24037.49000000,787.25449000,1660554599999
1660554600000,24038.79000000,24071.08000000,24027.10000000,24041.81000000,567.36773000,1660554899999
1660554900000,24041.81000000,24054.65000000,24000.00000000,24032.13000000,813.93229000,1660555199999
1660555200000,24030.64000000,24040.43000000,24010.00000000,24027.32000000,473.74042000,1660555499999
1660555500000,24027.32000000,24035.00000000,23993.02000000,24007.13000000,696.53050000,1660555799999
1660555800000,24008.27000000,24042.98000000,24000.03000000,24002.84000000,588.89503000,1660556099999
1660556100000,24000.94000000,24045.76000000,23996.58000000,24016.93000000,657.95614000,1660556399999
1660556400000,24018.30000000,24075.77000000,24010.87000000,24065.31000000,585.47604000,1660556699999
1660556700000,24065.31000000,24170.87000000,24057.00000000,24127.97000000,1218.07154000,1660556999999
1660557000000,24127.97000000,24205.77000000,24126.18000000,24148.40000000,1235.99889000,1660557299999
1660557300000,24147.08000000,24199.00000000,24112.68000000,24172.18000000,1084.85918000,1660557599999
1660557600000,24170.69000000,24186.37000000,24149.59000000,24163.18000000,901.20285000,1660557899999
1660557900000,24162.11000000,24175.34000000,24131.22000000,24137.57000000,685.64407000,1660558199999
1660558200000,24136.43000000,24180.00000000,24128.58000000,24178.20000000,637.59745000,1660558499999
1660558500000,24178.20000000,24205.23000000,24156.02000000,24188.71000000,675.87894000,1660558799999
1660558800000,24188.71000000,24191.28000000,24150.00000000,24167.77000000,557.58740000,1660559099999
1660559100000,24168.48000000,24207.14000000,24167.46000000,24183.45000000,576.58613000,1660559399999
1660559400000,24183.45000000,24207.63000000,24145.12000000,24167.39000000,711.95252000,1660559699999
1660559700000,24167.39000000,24178.90000000,24150.00000000,24177.75000000,452.32500000,1660559999999
1660560000000,24176.98000000,24191.47000000,24146.86000000,24155.73000000,536.09121000,1660560299999
1660560300000,24156.60000000,24229.74000000,24143.28000000,24213.32000000,846.16172000,1660560599999
1660560600000,24214.65000000,24300.00000000,24210.00000000,24273.33000000,1165.56210000,1660560899999
1660560900000,24273.34000000,24296.63000000,24240.45000000,24267.62000000,917.91154000,1660561199999
1660561200000,24267.62000000,24314.28000000,24258.35000000,24286.43000000,986.19126000,1660561499999
1660561500000,24286.00000000,24301.28000000,24250.00000000,24269.50000000,753.63158000,1660561799999
1660561800000,24269.50000000,24279.37000000,24227.58000000,24228.96000000,675.85132000,1660562099999
1660562100000,24228.96000000,24263.96000000,24208.38000000,24226.92000000,908.45071000,1660562399999
1660562400000,24225.91000000,24234.17000000,24164.65000000,24169.13000000,1095.61081000,1660562699999
1660562700000,24169.06000000,24206.00000000,24165.56000000,24184.50000000,507.45487000,1660562999999
1660563000000,24184.50000000,24202.62000000,24080.72000000,24118.20000000,1156.93105000,1660563299999
1660563300000,24118.64000000,24140.78000000,24074.80000000,24094.02000000,783.56882000,1660563599999
1660563600000,24096.19000000,24118.10000000,24085.13000000,24104.82000000,559.14863000,1660563899999
1660563900000,24104.82000000,24127.59000000,24056.65000000,24064.33000000,812.81439000,1660564199999
1660564200000,24064.33000000,24076.85000000,23996.58000000,24008.34000000,1043.23454000,1660564499999
1660564500000,24007.06000000,24074.79000000,24006.72000000,24049.48000000,671.37294000,1660564799999
1660564800000,24048.91000000,24080.56000000,24033.79000000,24041.47000000,688.89002000,1660565099999
1660565100000,24039.58000000,24105.94000000,24022.78000000,24081.87000000,750.95208000,1660565399999
1660565400000,24080.85000000,24083.50000000,24018.20000000,24053.02000000,692.39105000,1660565699999
1660565700000,24054.30000000,24104.06000000,24050.00000000,24092.97000000,624.05450000,1660565999999
1660566000000,24091.44000000,24112.83000000,24070.00000000,24087.44000000,596.18776000,1660566299999
1660566300000,24088.57000000,24163.71000000,24082.66000000,24148.29000000,702.97073000,1660566599999
1660566600000,24148.84000000,24192.00000000,24058.43000000,24089.57000000,1241.46448000,1660566899999
1660566900000,24089.57000000,24104.30000000,24067.00000000,24084.37000000,618.08009000,1660567199999
1660567200000,24085.59000000,24103.53000000,24050.61000000,24074.56000000,584.96122000,1660567499999
1660567500000,24074.45000000,24080.00000000,24030.00000000,24056.43000000,575.29801000,1660567799999
1660567800000,24056.45000000,24060.37000000,23927.07000000,23952.35000000,1519.79451000,1660568099999
1660568100000,23953.97000000,23997.07000000,23900.00000000,23950.97000000,1320.24136000,1660568399999
1660568400000,23949.28000000,24041.52000000,23931.20000000,24030.66000000,1164.55604000,1660568699999
1660568700000,24030.66000000,24088.00000000,24015.01000000,24066.97000000,985.15424000,1660568999999
1660569000000,24066.97000000,24105.71000000,24056.58000000,24099.57000000,795.77550000,1660569299999
1660569300000,24100.31000000,24127.11000000,24092.47000000,24103.77000000,661.48554000,1660569599999
1660569600000,24104.94000000,24129.63000000,24071.14000000,24112.57000000,805.12925000,1660569899999
1660569900000,24111.11000000,24131.74000000,24092.86000000,24120.54000000,662.98071000,1660570199999
1660570200000,24119.18000000,24167.09000000,24102.65000000,24153.22000000,1251.60858000,1660570499999
1660570500000,24153.22000000,24159.80000000,24048.25000000,24106.75000000,1112.07357000,1660570799999
1660570800000,24107.15000000,24114.06000000,23971.16000000,24021.52000000,1396.30452000,1660571099999
1660571100000,24020.81000000,24100.00000000,24000.16000000,24035.01000000,1242.20124000,1660571399999
1660571400000,24033.37000000,24156.96000000,24032.08000000,24140.25000000,1191.11425000,1660571699999
1660571700000,24141.03000000,24198.51000000,24122.60000000,24155.97000000,1774.62314000,1660571999999
1660572000000,24155.97000000,24160.04000000,24090.00000000,24119.06000000,1072.50778000,1660572299999
1660572300000,24119.06000000,24192.47000000,24095.02000000,24173.50000000,1500.82706000,1660572599999
1660572600000,24175.23000000,24194.00000000,24092.38000000,24093.85000000,914.29042000,1660572899999
1660572900000,24093.85000000,24152.42000000,24090.00000000,24138.22000000,825.20257000,1660573199999
