unix_ts,open,high,low,close,Volume,close time,Quote assetvolume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,wt1,wt2,previous_wt1,previous_wt2,crossing_down,crossing_up,signal
1655276400000,0.3078,0.3084,0.3027,0.3047,25757427.00000000,1655279999999,7871910.52400000,12378,12035513.00000000,3677781.23060000,0,,,,,False,False,no_sig
1655280000000,0.3048,0.3062,0.3001,0.3021,63097240.00000000,1655283599999,19099470.00640000,28922,33582273.00000000,10163590.90050000,0,-124.44444444444444,,,,False,False,no_sig
1655283600000,0.302,0.3039,0.3,0.3026,49734142.00000000,1655287199999,14997758.15640000,22896,24856659.00000000,7495953.44910000,0,-107.29614288746149,,-124.44444444444444,,False,False,no_sig
1655287200000,0.3026,0.308,0.3015,0.3061,45759179.00000000,1655290799999,13960621.90900000,21433,22393926.00000000,6831001.58470000,0,-34.17983091514458,,-107.29614288746149,,False,False,no_sig
1655290800000,0.3061,0.3119,0.3042,0.3096,37171081.00000000,1655294399999,11464407.58310000,16131,19222230.00000000,5928186.35170000,0,16.662096617050185,-62.31458040750008,-34.17983091514458,,False,False,no_sig
1655294400000,0.3096,0.3164,0.3083,0.3104,37182338.00000000,1655297999999,11570059.04440000,15067,19472065.00000000,6058851.56410000,0,46.21515099142021,-19.649681548533916,16.662096617050185,-62.31458040750008,False,False,no_sig
1655298000000,0.3105,0.3166,0.3098,0.3139,28533949.00000000,1655301599999,8929206.49740000,12970,14475277.00000000,4529536.75430000,0,61.15007722403334,22.46187347933979,46.21515099142021,-19.649681548533916,False,False,no_sig
1655301600000,0.3139,0.3155,0.3076,0.309,24513210.00000000,1655305199999,7623241.98390000,10646,10828245.00000000,3366958.75820000,0,58.97855768146325,45.751470628491745,61.15007722403334,22.46187347933979,False,False,no_sig
1655305200000,0.3089,0.3124,0.3088,0.3119,14524606.00000000,1655308799999,4511085.22540000,7027,7158503.00000000,2223343.80370000,0,57.35503168967745,55.924704396648565,58.97855768146325,45.751470628491745,False,False,no_sig
1655308800000,0.312,0.3136,0.3054,0.3055,22887812.00000000,1655312399999,7072672.07190000,9427,10165293.00000000,3141897.23050000,0,45.14512352109132,55.65719752906634,57.35503168967745,55.924704396648565,True,False,short
1655312400000,0.3055,0.312,0.3022,0.3103,33334133.00000000,1655315999999,10192202.43100000,14569,17869780.00000000,5460761.30140000,0,35.64982760488052,49.282135124278135,45.14512352109132,55.65719752906634,False,False,no_sig
1655316000000,0.3104,0.3289,0.298,0.3199,117731805.00000000,1655319599999,36651559.71100000,69360,57727566.00000000,17978726.99380000,0,50.79115605202315,47.235284716918116,35.64982760488052,49.282135124278135,False,False,no_sig
1655319600000,0.3199,0.3317,0.3183,0.3232,52642084.00000000,1655323199999,17093856.84080000,28207,25118003.00000000,8159885.60890000,0,70.11801928337051,50.42603161534138,50.79115605202315,47.235284716918116,False,False,no_sig
1655323200000,0.3232,0.329,0.3216,0.3261,24353103.00000000,1655326799999,7924102.78250000,10845,12424806.00000000,4044261.05240000,0,79.48436157827477,59.01084112963724,70.11801928337051,50.42603161534138,False,False,no_sig
1655326800000,0.326,0.3361,0.324,0.3338,16667327.00000000,1655330399999,5495908.13650000,7834,8647404.00000000,2852061.40870000,0,87.56197453027356,71.9888778609855,79.48436157827477,59.01084112963724,False,False,no_sig
1655330400000,0.3339,0.3469,0.3338,0.3411,48251834.00000000,1655333999999,16490336.40820000,23403,24668890.00000000,8429722.55210000,0,95.68966512219976,83.21350512852965,87.56197453027356,71.9888778609855,False,False,no_sig
1655334000000,0.3412,0.3457,0.3394,0.3436,26420999.00000000,1655337599999,9050902.61140000,10717,13318665.00000000,4562633.63920000,0,99.15836702594657,90.47359206417367,95.68966512219976,83.21350512852965,False,False,no_sig
1655337600000,0.3436,0.3475,0.3386,0.3413,27886376.00000000,1655341199999,9544960.36960000,12027,14348515.00000000,4910979.93580000,0,98.90927026109729,95.3298192348793,99.15836702594657,90.47359206417367,False,False,no_sig
1655341200000,0.3414,0.3461,0.3371,0.3371,21636728.00000000,1655344799999,7388535.62150000,9146,10247795.00000000,3500356.29580000,0,95.7351314005382,97.37310845244545,98.90927026109729,95.3298192348793,True,False,short
1655344800000,0.3371,0.3394,0.3357,0.338,18135092.00000000,1655348399999,6123047.04130000,7947,8710143.00000000,2940751.09450000,0,90.76738019094228,96.14253721963108,95.7351314005382,97.37310845244545,False,False,no_sig
1655348400000,0.3381,0.3393,0.3347,0.3348,19116179.00000000,1655351999999,6432579.29010000,7417,9038761.00000000,3041712.44300000,0,85.11692470033994,92.63217663822942,90.76738019094228,96.14253721963108,False,False,no_sig
1655352000000,0.3348,0.3382,0.3348,0.3358,19565194.00000000,1655355599999,6589288.80200000,7739,9232864.00000000,3109113.31990000,0,79.85705339945657,87.86912242281925,85.11692470033994,92.63217663822942,False,False,no_sig
1655355600000,0.3359,0.3375,0.3339,0.3346,21584902.00000000,1655359199999,7248249.76960000,7313,8253231.00000000,2772265.25710000,0,74.35988532930631,82.52531090501128,79.85705339945657,87.86912242281925,False,False,no_sig
1655359200000,0.3345,0.3367,0.33,0.331,19896444.00000000,1655362799999,6638962.69750000,8000,10555791.00000000,3521063.59040000,0,67.26833078943729,76.65054855463504,74.35988532930631,82.52531090501128,False,False,no_sig
1655362800000,0.331,0.3323,0.3233,0.3239,38903441.00000000,1655366399999,12739072.09620000,13601,19602455.00000000,6415659.48050000,0,55.913078014057966,69.34958688306453,67.26833078943729,76.65054855463504,False,False,no_sig
1655366400000,0.3239,0.3277,0.3226,0.3266,19891749.00000000,1655369999999,6467749.68000000,8277,9781769.00000000,3181350.81020000,0,45.51200050471575,60.76332365937933,55.913078014057966,69.34958688306453,False,False,no_sig
1655370000000,0.3265,0.3272,0.3182,0.3192,33971880.00000000,1655373599999,10932735.09140000,14905,15687331.00000000,5049105.94600000,0,33.55947269692454,50.56322050128389,45.51200050471575,60.76332365937933,False,False,no_sig
1655373600000,0.3191,0.3203,0.313,0.3174,39332843.00000000,1655377199999,12453681.93340000,15202,20832428.00000000,6598772.02690000,0,20.7760356181794,38.94014670846941,33.55947269692454,50.56322050128389,False,False,no_sig
1655377200000,0.3173,0.3177,0.313,0.3151,25189751.00000000,1655380799999,7955559.94070000,11201,13779192.00000000,4351975.56160000,0,9.895488320012957,27.435749284958163,20.7760356181794,38.94014670846941,False,False,no_sig
1655380800000,0.315,0.3223,0.3145,0.3175,34829088.00000000,1655384399999,11086432.62990000,15250,17684338.00000000,5630143.87760000,0,3.249703559235996,16.870175048588223,9.895488320012957,27.435749284958163,False,False,no_sig
1655384400000,0.3175,0.3206,0.3118,0.3138,37267486.00000000,1655387999999,11794335.05610000,15337,17611068.00000000,5571981.20030000,0,-3.8464239763211308,7.518700880276805,3.249703559235996,16.870175048588223,False,False,no_sig
1655388000000,0.3136,0.3147,0.3101,0.3117,42397200.00000000,1655391599999,13232059.29060000,16144,21444622.00000000,6692717.74450000,0,-11.331150619127142,-0.5080956790498297,-3.8464239763211308,7.518700880276805,False,False,no_sig
1655391600000,0.3118,0.3185,0.3117,0.3168,24832977.00000000,1655395199999,7849984.02590000,10084,12136100.00000000,3835003.94800000,0,-14.809081512742887,-6.684238137238791,-11.331150619127142,-0.5080956790498297,False,False,no_sig
1655395200000,0.3168,0.3198,0.3133,0.318,24875305.00000000,1655398799999,7881119.83710000,8845,12263960.00000000,3885349.60490000,0,-16.5865289258066,-11.64329625849944,-14.809081512742887,-6.684238137238791,False,False,no_sig
1655398800000,0.318,0.3201,0.3156,0.3159,18118339.00000000,1655402399999,5763814.51090000,6784,9236891.00000000,2937570.17870000,0,-17.858676008560085,-15.146359266559177,-16.5865289258066,-11.64329625849944,False,False,no_sig
1655402400000,0.316,0.3188,0.3144,0.3174,14706782.00000000,1655405999999,4651147.34360000,6101,7203593.00000000,2278363.69760000,0,-19.125838184007847,-17.095031157779353,-17.858676008560085,-15.146359266559177,False,False,no_sig
1655406000000,0.3172,0.3194,0.313,0.3149,18967221.00000000,1655409599999,5994332.48130000,6908,8786631.00000000,2776467.98830000,0,-21.074825361971534,-18.661467120086517,-19.125838184007847,-17.095031157779353,False,False,no_sig
1655409600000,0.3149,0.3193,0.3146,0.3181,14585682.00000000,1655413199999,4628908.83680000,6041,6930558.00000000,2198731.20420000,0,-21.044302373499214,-19.77591048200967,-21.074825361971534,-18.661467120086517,False,False,no_sig
1655413200000,0.3182,0.3227,0.3157,0.3165,10444276.00000000,1655416799999,3339752.46720000,5445,4768119.00000000,1524710.11530000,0,-19.84207253502957,-20.27175961362704,-21.044302373499214,-19.77591048200967,False,False,no_sig
1655416800000,0.3166,0.3171,0.311,0.3113,19278196.00000000,1655420399999,6052604.86070000,8431,9338841.00000000,2932627.29170000,0,-24.66866301930782,-21.657465822452036,-19.84207253502957,-20.27175961362704,False,False,no_sig
1655420400000,0.3113,0.3132,0.3073,0.3132,24403412.00000000,1655423999999,7560256.18370000,10771,12416376.00000000,3846580.54210000,0,-30.05976351461846,-23.90370036061377,-24.66866301930782,-21.657465822452036,False,False,no_sig
1655424000000,0.3132,0.3213,0.3105,0.3204,28467602.00000000,1655427599999,8997617.87760000,13193,14389443.00000000,4549218.51300000,0,-26.983901359561592,-25.38860010712936,-30.05976351461846,-23.90370036061377,False,False,no_sig
1655427600000,0.3204,0.3303,0.3184,0.3289,32162493.00000000,1655431199999,10436702.15370000,15555,15871285.00000000,5149355.68940000,0,-14.464416308524708,-24.044186050503143,-26.983901359561592,-25.38860010712936,False,False,no_sig
1655431200000,0.3289,0.3306,0.3249,0.3255,20196527.00000000,1655434799999,6611510.10870000,8300,9295124.00000000,3044210.71620000,0,-3.9122977504648095,-18.855094733292393,-14.464416308524708,-24.044186050503143,False,False,no_sig
1655434800000,0.3255,0.3297,0.3231,0.3237,17038997.00000000,1655438399999,5563218.99800000,7588,8818598.00000000,2879980.88160000,0,2.7925248761224397,-10.642022635607168,-3.9122977504648095,-18.855094733292393,False,False,no_sig
1655438400000,0.3237,0.331,0.3229,0.3278,23691383.00000000,1655441999999,7753561.02340000,9754,12914558.00000000,4225859.99830000,0,9.676489702567338,-1.4769248700749351,2.7925248761224397,-10.642022635607168,False,False,no_sig
1655442000000,0.3278,0.3332,0.3271,0.3295,15925588.00000000,1655445599999,5255100.62130000,7807,8526503.00000000,2812880.89360000,0,17.23059746366441,6.446828572972344,9.676489702567338,-1.4769248700749351,False,False,no_sig
1655445600000,0.3296,0.3356,0.3281,0.3352,25738129.00000000,1655449199999,8549123.24290000,11119,13074064.00000000,4342373.06940000,0,25.054296473835524,13.688477129047428,17.23059746366441,6.446828572972344,False,False,no_sig
1655449200000,0.3351,0.3387,0.3332,0.336,25651890.00000000,1655452799999,8627144.35740000,12380,13915367.00000000,4680649.06660000,0,32.5629379781975,21.13108040456619,25.054296473835524,13.688477129047428,False,False,no_sig
1655452800000,0.3359,0.3397,0.3327,0.3336,19051707.00000000,1655456399999,6408608.12950000,8521,9810208.00000000,3299870.99390000,0,37.24509306829408,28.023231245997877,32.5629379781975,21.13108040456619,False,False,no_sig
1655456400000,0.3336,0.3337,0.3278,0.3283,24240356.00000000,1655459999999,8027088.84760000,8801,13101248.00000000,4339434.17060000,0,36.50444392335178,32.84169286091972,37.24509306829408,28.023231245997877,False,False,no_sig
